label1,label2,correlation,lag,p_value
wide-leg,empire waist,0.6429684517526583,0.0,6.342313083758798e-12
appliqué,pleats,0.6211628892008619,-8.0,3.7195157535559086e-10
appliqué,embroidery,0.5908048393740428,-8.0,4.1144149770430956e-09
embroidery,patch pockets,0.58907000308688,5.0,2.42971233850039e-09
pleats,patch pockets,0.5694946718538443,-8.0,1.927383790103626e-08
pleats,embroidery,0.5643199257623558,-1.0,6.931965714620536e-09
peplum,bodycon,0.5619255271233748,-1.0,8.280305384211442e-09
bodycon,side slit,0.5561819151880826,6.0,3.2706378027156336e-08
wide-leg,side slit,0.5457832583179284,2.0,3.176754298371811e-08
frills,patch pockets,0.5446556579752705,4.0,4.937292041482492e-08
empire waist,bodycon,0.5431764225402712,-8.0,1.1228827598004412e-07
wide-leg,bodycon,0.534342630129667,-2.0,6.920830561593854e-08
frills,embroidery,0.5291978550196732,0.0,6.931565034279292e-08
sash,embroidery,0.5282920061809737,2.0,1.0327699526499898e-07
appliqué,tailored fit,0.5219826087148651,-6.0,3.0034719467564033e-07
appliqué,sash,0.510028955204201,4.0,4.510896998790078e-07
peplum,side slit,0.5081876496819843,-2.0,3.697769621788275e-07
empire waist,side slit,0.5040268513386973,-2.0,4.7665254739807875e-07
column fit,side slit,0.503990608041008,6.0,8.775285815064329e-07
flap pockets,front slit,0.5012090768680033,-8.0,1.3915049629323926e-06
