period,period_end,period_label,most_popular_brand,brand_count,total_covers,normalized_popularity
1950,1954,1950-1954,Dior Paris,1,99,0.010101010101010102
1955,1959,1955-1959,Orion,1,100,0.01
1960,1964,1960-1964,Dior,3,100,0.03
1965,1969,1965-1969,Chemise Lacoste,1,100,0.01
1970,1974,1970-1974,Lord & Taylor,4,85,0.047058823529411764
1975,1979,1975-1979,Bloomingdale,2,59,0.03389830508474576
1980,1984,1980-1984,Bergdorf Goodman,8,60,0.13333333333333333
1985,1989,1985-1989,Bloomingdale,7,60,0.11666666666666667
1990,1994,1990-1994,Bergdorf Goodman,9,60,0.15
1995,1999,1995-1999,Bergdorf Goodman,13,60,0.21666666666666667
2000,2004,2000-2004,Bergdorf Goodman,5,60,0.08333333333333333
2005,2009,2005-2009,Dior,3,60,0.05
2010,2014,2010-2014,Dolce & Gabbana,3,54,0.05555555555555555
2015,2019,2015-2019,Dior,5,61,0.08196721311475409
2020,2024,2020-2024,Tiffany & Co,4,53,0.07547169811320754
